run,final_energy,time
1,-1.8671045077907948,3.1171375000849366
2,-1.8670987548680218,3.5180122000165284
3,-1.8670976540012685,3.6812766001094133
4,-1.8670578228567303,3.1868994999676943
5,-1.8669022923591574,3.4608394999522716
6,-1.8670560584916658,3.914517200086266
7,-1.8671029915804598,3.5826832000166178
8,-1.8670530460464172,3.6228843999560922
9,-1.8669839663544117,3.598447000142187
10,-1.867052136852596,3.306992000201717
11,-1.8616481950158803,3.2662225000094622
12,-1.8667861150281142,3.700336400186643
13,-1.867030570482277,3.448469700058922
14,-1.866932468132561,3.271845699986443
15,-1.866902312002715,3.5758396999444813
16,-1.8670892461955155,3.1948933999519795
17,-1.8667038968716092,3.2211915000807494
18,-1.866714270741728,3.4131440999917686
19,-1.8668303193581053,3.290438299998641
20,-1.8655914278050407,3.420406499877572
21,-1.8664572271009716,3.5138930999673903
22,-1.8670861276681048,3.4830934999044985
23,-1.8671021154192753,3.2571424001362175
24,-1.8615809677118702,3.375700700096786
25,-1.8670891858758623,3.1260510000865906
26,-1.8671036366098879,3.132507500005886
27,-1.8670358499186483,3.346917000133544
28,-1.8671050109788556,3.13444110006094
29,-1.866837333198727,3.134378399932757
30,-1.8670574810388354,3.3316167001612484
31,-1.8670962189350653,3.168428600067273
32,-1.867094031858648,3.1321929001715034
33,-1.8669475019998474,3.335380000062287
34,-1.8669952384496242,3.135323400143534
35,-1.8670339068759592,3.159940700046718
36,-1.8657840280731852,3.3376472999807447
37,-1.8617059236502334,3.1391576000023633
38,-1.8670388841220584,3.130822000093758
39,-1.8671038072955635,3.351736899930984
40,-1.8589502459522897,3.1421834998764098
41,-1.8670953954802771,3.1867707998026162
42,-1.8670531425416725,3.4087121000047773
43,-1.8471302305439692,3.1348882999736816
44,-1.8472358589063307,3.13617239985615
45,-1.867059146577772,3.32356769987382
46,-1.8671043163270742,3.118542700074613
47,-1.8670763358803617,3.29270499991253
48,-1.8670992848878287,3.174079400021583
49,-1.866956872950059,3.2392409001477063
50,-1.867103707293443,3.3843102999962866
51,-1.8670261847450906,3.206692000152543
52,-1.8668739125703664,3.138880299869925
53,-1.8670789899265006,3.352913800161332
54,-1.866807584872727,3.120447700144723
55,-1.8671042242150755,3.134640899952501
56,-1.8671050112553442,3.3558429998811334
57,-1.8669095034464254,3.1312514999881387
58,-1.8670491321963714,3.1160193998366594
59,-1.8663750501029757,3.3520118000451475
60,-1.867084536479358,3.1759479001630098
61,-1.8656230406905183,3.1410862000193447
62,-1.8670099131004745,3.355741099920124
63,-1.8662772444773799,3.1411767001263797
64,-1.8658056911090166,3.1404842999763787
65,-1.8671045040657317,3.35119939991273
66,-1.8671010068918288,3.2519320000428706
67,-1.8671014479547694,3.1407368001528084
68,-1.866900327128251,3.348465499933809
69,-1.8671019689636197,3.1338487998582423
70,-1.8669193438605656,3.1211663000285625
71,-1.863518912360556,3.335539000108838
72,-1.8667640304761808,3.1325472998432815
73,-1.8655027504430708,3.1301510999910533
74,-1.866412640279595,3.355693900026381
75,-1.8671048691334688,3.1529252999462187
76,-1.8665864469938955,3.1437044001650065
77,-1.8650013613358272,3.344266600208357
78,-1.866938139864499,3.1555971999187022
79,-1.8630464676204488,3.132434800034389
80,-1.8668734989552562,3.339967699954286
81,-1.8671042596999434,3.131280600093305
82,-1.8671027846138564,3.1286176999565214
83,-1.8670956534009773,3.3400780998636037
84,-1.8670537652380423,3.1232793999370188
85,-1.8669963300645802,3.135469699976966
86,-1.8670998817232938,3.3346052998676896
87,-1.8671014210248875,3.1384564999025315
88,-1.8669828802403778,3.11880090017803
89,-1.8670657107737134,3.339967400068417
90,-1.8669661453320732,3.130288999993354
91,-1.866763687910596,3.1327994000166655
92,-1.8666723916315764,3.3522402001544833
93,-1.8671044224604998,3.12835989985615
94,-1.8669430521787214,3.1519820000976324
95,-1.8671043467591966,3.3368013999424875
96,-1.867061947559145,3.1309220001567155
97,-1.8661940805433497,3.156902400078252
98,-1.8647846224942506,3.332685000030324
99,-1.867084577157494,3.276183299953118
100,-1.8671040978510969,3.140105800004676
