costF,reported_energy_mean,reported_energy_median,reported_energy_min,reported_energy_max,reported_energy_q25,reported_energy_q75,error_mean,error_median,error_min,error_max,error_q25,error_q75,reported_success_rate,time_median,energy_diff_mean,energy_diff_median,energy_diff_min,energy_diff_max,energy_diff_q25,energy_diff_q75,actual_success_rate,actual_energy_median,actual_error_median
fakeAthensV2_5k,-1.08697916012,-1.0946532640000002,-1.144456676,-0.830999016,-1.112299853,-1.0674113550000002,0.7801258513342525,0.7724517474542524,0.7226483354542526,1.0361059954542524,0.7548051584542526,0.7996936564542523,0.0,21.466760999988765,0.43183035975508416,0.43895105463597867,0.002989058592403948,0.8151621269994473,0.28868987948316527,0.5927506178887271,0.0,-0.6417320562192834,1.225372955234969
fakeAthensV2_exact,-1.186880033570304,-1.188812745497277,-1.1939050038349903,-1.160667083220092,-1.1902003430888333,-1.1845231824868718,0.6802249778839484,0.6782922659569754,0.6732000076192621,0.7064379282341604,0.6769046683654193,0.6825818289673806,0.0,127.55845434998628,0.4761137696420413,0.4620365191295347,0.12423612548079221,0.8489222638497965,0.18828603341359051,0.7537372232784346,0.0,-0.7292827696319875,1.137822241822265
fakeBogotaV2_5k,-0.9646429963200001,-0.9676091920000001,-1.020124752,-0.879700068,-0.986651869,-0.946712784,0.9024620151342525,0.8994958194542524,0.8469802594542524,0.9874049434542524,0.8804531424542524,0.9203922274542524,0.0,25.57049749995349,0.3009251163661141,0.2697000518198406,0.010543947747818194,0.6845875285912513,0.1522040850768636,0.46340569713705004,0.0,-0.6835907212689278,1.1835142901853246
fakeBogotaV2_exact,-1.0871168847066328,-1.086190460074196,-1.0944767000238371,-1.06896675483171,-1.0929116686872276,-1.0823240030034005,0.7799881267476195,0.7809145513800564,0.7726283114304153,0.7981382566225423,0.7741933427670249,0.784781008450852,0.0,191.29200075002154,0.3174827675236748,0.2552704365337182,0.010086989585930795,0.7507209430302798,0.08444813930849515,0.5202509467229317,0.0,-0.8267234956676408,1.0403815157866116
fakeManilaV2_5k,-1.0564656644400001,-1.071463564,-1.112985844,-0.93383768,-1.089076524,-1.027472616,0.8106393470142524,0.7956414474542525,0.7541191674542524,0.9332673314542524,0.7780284874542525,0.8396323954542524,0.0,26.675545049947686,0.380953538892158,0.37247784340981244,0.003324552391695823,0.7303280464680538,0.2214131578347249,0.5549499597476907,0.0,-0.6772141673322156,1.1898908441220368
fakeManilaV2_exact,-1.2150779515029977,-1.2151539465736636,-1.2264891929748665,-1.2012405944697846,-1.2184626045453868,-1.2115616635884576,0.6520270599512549,0.6519510648805888,0.640615818479386,0.6658644169844679,0.6486424069088657,0.6555433478657948,0.0,201.5387372999976,0.5150575456857598,0.5493287888674165,0.14805415285451962,0.877475008459006,0.21481108590422035,0.7881140400604155,0.0,-0.667530600192038,1.1995744112622144
gate_noise_5k,-1.53418967944,-1.599010636,-1.6691358640000002,-1.050925872,-1.6203290370000003,-1.549934758,0.3329153320142524,0.2680943754542524,0.1979691474542522,0.8161791394542524,0.24677597445425226,0.3171702534542524,0.0,5.849724999998216,0.18848548183827787,0.19922538602757967,0.06506225518151942,0.24914342840287085,0.18297229732190168,0.21138475324184652,0.0,-1.8071236498826897,0.05998136157156286
gate_noise_exact,-1.6841847946173016,-1.6970349492140175,-1.698287515849771,-1.6539991027267595,-1.6978460979048466,-1.666997781945126,0.18292021683695092,0.1700700622402348,0.16881749560448145,0.2131059087274929,0.16925891354940575,0.20010722950912635,0.0,9.44736665000164,0.18233596280611283,0.1700377967648926,0.168777859831583,0.21277929379316407,0.1692222570132093,0.1987922078701247,0.98,-1.8670656394841987,3.93719700537698e-05
gate_noise_zne_linear_5k,-1.6098838137066673,-1.7028007306666675,-1.7900317013333336,-1.0978059360000003,-1.748241896666667,-1.5090845500000003,0.25722119774758523,0.16430428078758508,0.07707331012091889,0.7692990754542521,0.11886311478758532,0.35802046145425204,0.0,17.077518500002043,0.05847594852702093,0.05975865692674087,0.0016843960577765937,0.09706283480405742,0.047202975220109356,0.07291682373032776,0.0,-1.773657120252056,0.09344789120219654
gate_noise_zne_linear_exact,-1.8121625275555615,-1.810768081241112,-1.827220766482743,-1.788709697552348,-1.8213293751409694,-1.80457697210355,0.05494248389869076,0.05633693021314046,0.03988424497150955,0.07839531390190446,0.045775636313283075,0.06252803935070239,0.0,9.00644530000136,0.05464788846716945,0.055732258010287916,0.03986578781253569,0.07803417773219845,0.04576968942390791,0.06190865949792346,0.99,-1.8670771784643385,2.7832989914045037e-05
