costF,reported_energy_mean,reported_energy_median,reported_energy_min,reported_energy_max,reported_energy_q25,reported_energy_q75,error_mean,error_median,error_min,error_max,error_q25,error_q75,reported_success_rate,time_median,energy_diff_mean,energy_diff_median,energy_diff_min,energy_diff_max,energy_diff_q25,energy_diff_q75,actual_success_rate,actual_energy_median,actual_error_median
gate_noise_5k,-1.6590305331600002,-1.658080784,-1.697675408,-1.600508776,-1.6732419040000002,-1.645955175,0.2080744782942524,0.20902422745425242,0.1694296034542524,0.2665962354542524,0.19386310745425228,0.22114983645425246,0.0,27.24481510000078,0.18531858305883067,0.1860364592133561,0.15872671059111876,0.21412107328286356,0.1758794933179212,0.19498188685682222,0.0,-1.8472397891849504,0.019865222269301985
gate_noise_5k_postpec_5k_s1000_global,-1.8871172410007433,-1.8832610096989624,-2.1059142574442067,-1.6361530407382687,-1.9445443800935156,-1.8355518689093757,0.063060632167797,0.05459022803559199,0.0004160861033986052,0.23880924598995423,0.02454636892265072,0.08971069837297968,0.02,33.1277905,0.06604915629591902,0.05106372692979311,0.0007868762384770633,0.2446356675202912,0.02001603317438827,0.11256265196266652,0.0,-1.8472397891849504,0.019865222269301985
gate_noise_5k_postzne_exponential_5k_sf1_2_3,-1.8071183469675471,-1.810759419668988,-1.8466202348033625,-1.7531055151936916,-1.8206146901533853,-1.7953772598934556,0.05998666448670532,0.05634559178526444,0.02048477665088999,0.11399949626056083,0.04649032130086722,0.07172775156079675,0.0,27.28219,0.03723076925128359,0.03694655423554949,0.007306543440054325,0.06527254542573191,0.027717905117221053,0.04559019797029851,0.0,-1.8472397891849504,0.019865222269301985
gate_noise_5k_postzne_linear_5k_sf1_2_3,-1.778967489213334,-1.779825970000001,-1.8301827280000007,-1.726845382666667,-1.791900528333334,-1.7676114690000009,0.08813752224091846,0.08727904145425158,0.03692228345425175,0.14025962878758547,0.07520448312091854,0.09949354245425157,0.0,27.282111999999998,0.06538162700549673,0.06512757069669861,0.026219390591118108,0.10570724419230237,0.05710523226951203,0.07564729449969004,0.0,-1.8472397891849504,0.019865222269301985
gate_noise_5k_postzne_richardson_5k_sf1_2_3,-1.8386388510399998,-1.8335934180000009,-1.900033624,-1.7686556119999988,-1.8640535409999996,-1.81551223,0.03488538689438132,0.033738365999999576,0.0005641685457467016,0.09844939945425368,0.012298618272873818,0.051592781454252556,0.06,27.281627,0.02552294241131376,0.02298273828125741,3.771178937239661e-05,0.07220202482193283,0.013051105839180177,0.03804726328038577,0.0,-1.8472397891849504,0.019865222269301985
gate_noise_exact,-1.670161092313742,-1.6687605859699084,-1.697689035571278,-1.634622001993926,-1.6822630798744491,-1.6590972758780946,0.19694391914051032,0.19834442548434417,0.16941597588297452,0.23248300946032652,0.18484193157980322,0.20800773557615787,0.0,1.779306300000826,0.19509342872826121,0.19668967925759995,0.16929397647359878,0.23112962964171113,0.18377483987722754,0.20584358890957988,0.78,-1.866433795610237,0.0006712158440153049
gate_noise_exact_postpec_exact_s1000_global,-1.892757032407986,-1.8877760775378971,-2.0723302639192878,-1.7322114196023188,-1.936713195470798,-1.847199881119043,0.05807693799605168,0.05297352677920719,5.197460491235262e-05,0.2052252524650353,0.020425228039659238,0.08774533483604846,0.01,7.652156,0.05841491773244354,0.0517503874259192,0.00011235204291626388,0.20756580773280575,0.019565913767382703,0.08767082938033394,0.78,-1.866433795610237,0.0006712158440153049
gate_noise_exact_postpec_exact_s1000_local,-2.022323945199293,-2.0314881705537258,-2.376710188679948,-1.7501586109898453,-2.10533508597511,-1.9620855643472657,0.16926012208137764,0.16438315909947332,0.0032260359784825887,0.5096051772256958,0.10146592397291204,0.23823007452085754,0.0,7.883316499999999,0.1708108224447524,0.16515976506976515,0.0038645405024131385,0.5133170508394926,0.10235978506787896,0.24161195086144904,0.78,-1.866433795610237,0.0006712158440153049
gate_noise_exact_postpec_exact_s200_local,-2.0082758697048595,-1.9924649337235378,-2.610216894126968,-1.4052135318250654,-2.173619802283594,-1.8263661556513004,0.23181340930398686,0.19630025050779176,0.000662430682215609,0.7431118826727154,0.08732268093881079,0.3106188553878574,0.02,3.3494564999999996,0.23268637181172938,0.20107527274868764,0.0020865969561196795,0.7441027019588027,0.08745619394862408,0.32227593587163916,0.78,-1.866433795610237,0.0006712158440153049
gate_noise_exact_postzne_exponential_exact_sf1_2_3,-1.8352235401363826,-1.835922173830816,-1.84714427588559,-1.810362639862268,-1.8408493350881692,-1.8311939432484798,0.031881471317869885,0.031182837623436543,0.019960735568662402,0.056742371591984364,0.02625567636608317,0.035911068205772556,0.0,1.78494,0.030030980905620775,0.030082590762937733,0.019838736159286663,0.04381245006195944,0.025372252160652198,0.034945099677478275,0.78,-1.866433795610237,0.0006712158440153049
gate_noise_exact_postzne_linear_exact_sf1_2_3,-1.810151584939604,-1.8106688101463178,-1.8269266338225816,-1.783390591755312,-1.8178586983543927,-1.8040931496535948,0.05695342651464843,0.0564362013079347,0.04017837763167087,0.08371441969894056,0.04924631309985966,0.06301186180065754,0.0,1.7846415,0.05510293610239932,0.05597319860697414,0.04005637822229513,0.07641250553415646,0.04827485249311747,0.061528459829160664,0.78,-1.866433795610237,0.0006712158440153049
