run,final_energy,time
1,-1.6758031494254428,5.196182599989697
2,-1.8192237964506024,5.038608000031672
3,-1.7904604077769508,4.687890300061554
4,-1.8008419192123082,4.923336599953473
5,-1.8237985815075715,5.173466600012034
6,-1.8242605685346334,4.750919499900192
7,-1.7703503553277515,4.946604500059038
8,-1.8119111816461746,4.701773299952038
9,-1.8059782537408429,4.929561399971135
10,-1.8087023297023168,4.732840699958615
11,-1.810002447143608,4.945713200024329
12,-1.7490841665516919,4.9574877000413835
13,-1.81667532911123,4.693132299929857
14,-1.824670428328515,4.921902699978091
15,-1.813594626641388,4.65776079997886
16,-1.7869077359485788,5.015200000023469
17,-1.8254776784599658,4.690406299894676
18,-1.7528580592786418,4.921711500035599
19,-1.8259934904325243,4.923751499969512
20,-1.800818955604953,4.680317499907687
21,-1.7963754507191196,4.9370404999936
22,-1.7777883153108505,4.684629500028677
23,-1.805934500778371,4.9246761999093
24,-1.788817691688142,4.673270000028424
25,-1.780528452562213,4.9754160000011325
26,-1.819737464881696,4.925728700007312
27,-1.7914580806316698,4.6676565000088885
28,-1.8211983800359566,4.935677999979816
29,-1.6307531819460472,4.676420599920675
30,-1.813023751309288,4.940213600057177
31,-1.73496878374444,4.926031900104135
32,-1.5308354498119086,4.676403500023298
33,-1.7998955108729693,4.906916299951263
34,-1.679164868979436,4.6963226000079885
35,-1.8044333928428937,4.969524999964051
36,-1.814053599348884,4.697281699976884
37,-1.8036936489657478,4.926581099978648
38,-1.80660217515517,4.97139680001419
39,-1.8046693013375152,4.693167200079188
40,-1.76088588767728,4.9386639998992905
41,-1.8162344624862814,4.6950720000313595
42,-1.8191983630161772,4.942248499952257
43,-1.8186112722101642,4.682384999934584
44,-1.7824785714187525,4.931587100028992
45,-1.8055662861130428,4.930976199917495
46,-1.8175944670168092,4.6761418000096455
47,-1.7668881599245887,4.940659099956974
48,-1.8208936991507976,4.68976570002269
49,-1.762265300557782,4.9329069999512285
50,-1.8115974444733514,4.691369700012729
51,-1.8149565097159455,4.9298034000676125
52,-1.8040349441241168,4.9444115000078455
53,-1.8162716459487909,4.6790490000275895
54,-1.8000823336012477,4.909064100007527
55,-1.8319973970283212,4.726143199950457
56,-1.779598797970829,4.940876099979505
57,-1.8006569531192014,4.957189599983394
58,-1.783242787925028,4.683450400014408
59,-1.8122811479456709,4.961421900079586
60,-1.7204221279252074,4.685072300024331
61,-1.786716491447579,4.9315269000362605
62,-1.8159421019992217,4.777627700008452
63,-1.8185043618951584,4.955370199983008
64,-1.8016941802120932,4.938874499988742
65,-1.7997089925355925,4.667022899957374
66,-1.812511173637686,4.930048099951819
67,-1.8172151115728596,4.6620198000455275
68,-1.7984782916875623,4.92109109996818
69,-1.798499536579441,4.686186999897473
70,-1.8001911336301015,4.938800200005062
71,-1.8147714053450033,4.911190200014971
72,-1.822276223984098,5.022839099983685
73,-1.5469356343471765,4.989611700060777
74,-1.809809646244203,4.946122499997728
75,-1.8073121178800793,4.933878300013021
76,-1.8228164404529068,4.6850998000008985
77,-1.7876200573403402,4.962300400016829
78,-1.8254926803894562,4.926444899989292
79,-1.808975483237522,4.764032900100574
80,-1.812075952373691,4.919153800001368
81,-1.786662304194812,4.683231999981217
82,-1.7706055979448352,4.922031700029038
83,-1.8109439294309013,4.730401700013317
84,-1.7253461974994195,4.865982200019062
85,-1.7717474662741555,4.925415199948475
86,-1.8037842412330138,4.689148799981922
87,-1.6984692237974994,4.983242399990559
88,-1.8061900994042426,5.003060399903916
89,-1.8231029846187237,5.2781356000341475
90,-1.772593725640872,5.10156629991252
91,-1.7733841222806042,4.932262700051069
92,-1.8200631243066676,4.924976700101979
93,-1.8071010507827732,4.721661000046879
94,-1.8030566307620621,4.938096300000325
95,-1.7693195555145065,4.702845100080594
96,-1.7993221282367158,4.937151599908248
97,-1.8200785415523761,4.9236468999879435
98,-1.780358053994943,4.66378199995961
99,-1.8218784839025526,4.943728000042029
100,-1.8117338000860967,4.698816200019792
