run,final_energy,time
1,-1.8670560473864664,3.2428853000164963
2,-1.8668417823146515,3.5595596999919508
3,-1.8491263075701938,3.427141299995128
4,-1.854021184299037,3.2317458000034094
5,-1.867094220244513,3.18185180000728
6,-1.8635578489812676,3.1206622000026982
7,-1.8646726714435053,3.352335400006268
8,-1.866453139244736,3.25879160000477
9,-1.8657084333394436,3.164460100000724
10,-1.8659730186115593,3.368419200007338
11,-1.8670666029113558,4.002636999997776
12,-1.8665507276042819,3.9143585999845527
13,-1.8670455316505512,3.820778400026029
14,-1.8671038660267032,3.8169567000004463
15,-1.8515991995359822,3.769772200001171
16,-1.86644953938944,3.9293873000133317
17,-1.8669563013105048,3.848997299995972
18,-1.8668136568258429,3.8212457000045106
19,-1.8668227715185954,3.8707302999973763
20,-1.867034089898623,3.8488696000131313
21,-1.866957234909159,4.1760673999961
22,-1.866273866100074,3.8985111999791116
23,-1.8670477645583714,3.892578200000571
24,-1.8666004495512427,3.8584782000107225
25,-1.866859377223495,3.8307150999899022
26,-1.8505002837831144,3.852119999995921
27,-1.8667432274853486,3.9086260000185575
28,-1.8671037120948706,3.8642699999909382
29,-1.8664060561054796,3.857509699999355
30,-1.8638846440219137,3.8461721999919973
31,-1.8656652702495669,3.866118300007656
32,-1.8665025015877337,3.861213399999542
33,-1.8670953138846467,3.9029449000081513
34,-1.8663706988284494,3.874214099982055
35,-1.8667605509185616,3.785469299997203
36,-1.865986554577463,3.9269994999922346
37,-1.8663468270433308,3.8992702000250574
38,-1.8659542002095273,3.928068400011398
39,-1.8670793708525644,4.175332100014202
40,-1.866809067467745,3.778177300002426
41,-1.8637079692149463,3.8192694000026677
42,-1.8669653101560229,3.842218999983743
43,-1.8671043883632255,3.8376564999925904
44,-1.8639555908336387,3.8153981000068597
45,-1.8669505024900994,3.732059500005562
46,-1.8670884014274365,3.8028231999778654
47,-1.8669674696687262,3.808701600006316
48,-1.8670665154380206,3.811981500010006
49,-1.8641574981738411,3.8019912999880034
50,-1.8642073847418366,3.7351598999812268
51,-1.8667170996056457,3.8068614000221714
52,-1.8653351507530977,3.8181195999786723
53,-1.8670138221756845,3.860819599998649
54,-1.867026842709036,3.928438900009496
55,-1.866589412670221,3.7946349999983795
56,-1.867101352018305,3.8377201999828685
57,-1.8665882745061897,3.8195689999847673
58,-1.8667730238764166,3.8391509000211954
59,-1.8668491204516935,3.8533016000001226
60,-1.8665161321251715,3.795252800016897
61,-1.8667380217276703,3.841071800008649
62,-1.8670749660003476,3.86678509999183
63,-1.8654386409349408,3.8349809999926947
64,-1.8668588221221092,3.8494337000011
65,-1.8668740166022164,3.793724999995902
66,-1.866526756162167,3.8135613999911584
67,-1.8670963795174478,3.8231753000000026
68,-1.867010890043623,3.8253409000171814
69,-1.866107510775367,3.815393099997891
70,-1.8564774243699849,3.7638545999943744
71,-1.8670038409749081,3.8249962000118103
72,-1.8669487882050533,3.8110468999948353
73,-1.867094145159791,3.821736099984264
74,-1.8629587405087313,3.816710499988403
75,-1.8663248121113958,3.757190800009994
76,-1.8670389996341727,3.819105300004594
77,-1.8662215264381978,3.826052599994
78,-1.8665728040324308,3.8227728999918327
79,-1.8670672706315938,3.8063541000010446
80,-1.8663793108027893,3.75681250001071
81,-1.8669104134838386,3.825955799984513
82,-1.8667971333545217,3.8142195000255015
83,-1.8665516364890402,3.817989800008945
84,-1.8664895446170129,3.773710699984804
85,-1.8669650918411005,3.186791500018444
86,-1.867082521576678,3.0668605999962892
87,-1.8667747340503495,3.062227799993707
88,-1.8669768857999394,3.046099500003038
89,-1.8658035084372289,3.057226200005971
90,-1.8668894824569018,2.999280499992892
91,-1.8661467260381457,3.0577144999988377
92,-1.8670131387590123,3.0611952999897767
93,-1.8666158743083643,3.0619217999919783
94,-1.8669979570262234,3.0490692000021227
95,-1.866499992609076,3.0106018999940716
96,-1.8588023918507637,3.051919400022598
97,-1.8671003088161882,3.061452099995222
98,-1.8656825762951852,3.055291099997703
99,-1.8671043727406562,3.062942499993369
100,-1.8669808594135062,3.0007339000003412
