run,final_energy,time
1,-1.8371693565567677,3.9819010000210255
2,-1.8150760153374974,4.727023500017822
3,-1.838433218814828,3.962706300080754
4,-1.8423982072191607,3.9788732999004424
5,-1.7618750143795507,4.1808580000652
6,-1.8354683537713266,3.9782860000850633
7,-1.8355222562958566,4.1848729000194
8,-1.8331682172661057,4.002609499963
9,-1.8335581688231783,4.182705000042915
10,-1.8343033944397529,4.009799699997529
11,-1.8244633029630986,4.196990399970673
12,-1.8392312480540776,3.998027199995704
13,-1.834131701726465,4.206877099932171
14,-1.8300185617561313,3.979086500010453
15,-1.8426812850224228,4.22295490000397
16,-1.8401466104821735,3.983692399924621
17,-1.8380194521499824,3.995037200045772
18,-1.83639827309288,4.206839100108482
19,-1.6778995626359718,3.9892584000481293
20,-1.8159965410189003,4.197412299923599
21,-1.8294834426290745,3.996561700012535
22,-1.8353430441214766,4.2159743999363855
23,-1.8364165009505329,3.9972217000322416
24,-1.8215913074727235,4.193589599919505
25,-1.8217459557571207,3.970130500034429
26,-1.8399312877266158,4.220768200000748
27,-1.833438397265878,4.002576500060968
28,-1.8083985110345802,4.196408300078474
29,-1.8366667565558568,3.9862439000280574
30,-1.836854281914141,4.011004899977706
31,-1.838175509874794,4.192791000008583
32,-1.799833356367133,3.98678890010342
33,-1.8395693727496254,4.190857500070706
34,-1.8393303192064019,3.995342400041409
35,-1.8260521194476693,4.1778592999326065
36,-1.8362466664724248,4.010808899998665
37,-1.8324322190428943,4.234709299984388
38,-1.8034951730536748,4.097282100003213
39,-1.8322163496518162,4.223540199920535
40,-1.8288757889851106,3.9953043999848887
41,-1.8366572331129678,4.227381199947558
42,-1.802068041131208,4.113381200004369
43,-1.8217795589173231,4.01320109993685
44,-1.8374064464836124,4.212437700014561
45,-1.8367110995813285,4.023714000009932
46,-1.789978589349571,4.185553600080311
47,-1.8400607431660472,3.9798207000130787
48,-1.8408175568845004,4.2170720000285655
49,-1.8232194020238004,4.011410699924454
50,-1.8417194100190148,4.217480899998918
51,-1.8218535728432328,4.0091146000195295
52,-1.834959854242923,4.200401399983093
53,-1.8348207003162045,4.039966800017282
54,-1.8380657112950471,4.200487800058909
55,-1.827120315029386,3.985564300091937
56,-1.8344286820696212,4.002207600045949
57,-1.8371612998925788,4.233034299919382
58,-1.8066324383168508,4.002306199981831
59,-1.8213590692133574,4.203727600048296
60,-1.7764373531762634,4.008235900080763
61,-1.7549114571968183,4.417843599920161
62,-1.8347280704137718,4.111655500018969
63,-1.8356523778639577,4.196967899915762
64,-1.8384172118301665,4.009321499965154
65,-1.8299052480120728,4.190423000021838
66,-1.8409317928240094,4.008716800017282
67,-1.8296576867248158,4.21221820008941
68,-1.8135622841351358,3.9820403000339866
69,-1.825941058283852,4.001790100010112
70,-1.8211614524341355,4.199924699962139
71,-1.8400543060820271,4.02049949998036
72,-1.8430005980828683,4.191009399946779
73,-1.8382875232386984,4.012726299930364
74,-1.8285646169563294,4.206798300030641
75,-1.8124080883445186,4.28280469996389
76,-1.7992144400220542,4.1888951999135315
77,-1.839362764669694,3.999801199999638
78,-1.8342934354266451,4.213622999959625
79,-1.7568763898706288,3.987721599987708
80,-1.8367960491254702,4.1952298999531195
81,-1.8331099242627606,3.991903900052421
82,-1.8411929158640539,3.988772900076583
83,-1.790693854688802,4.190880399895832
84,-1.8394931957689735,3.9908328000456095
85,-1.7953014237366638,4.227294399985112
86,-1.8375274272918707,4.004760600044392
87,-1.8175550624439771,4.202587199979462
88,-1.83428932266086,4.012229199986905
89,-1.8373644237622704,4.183493799995631
90,-1.785942526838958,3.9949141000397503
91,-1.7970320679318634,4.2231493999715894
92,-1.7953295760192671,3.976342499954626
93,-1.832574543696529,4.1831746000098065
94,-1.4977382536447688,3.979277699952945
95,-1.832088392443578,4.0074530999409035
96,-1.799232725554281,4.200234699994326
97,-1.7954325262768402,4.045363900018856
98,-1.8394516676486041,4.185214800061658
99,-1.837790623838154,3.9912931999424472
100,-1.8419981295416876,4.195797199965455
