run,final_energy,time
1,-1.6218154638812556,4.670618100091815
2,-1.752714572797516,4.767549999989569
3,-1.662324580480548,4.63487680000253
4,-1.675464758290712,4.765282399952412
5,-1.6730217031681178,4.773291600053199
6,-1.66570887653292,4.631978300050832
7,-1.7500966215432183,4.758999899961054
8,-1.7476284769120831,4.618576499982737
9,-1.7369003977647464,4.755480199935846
10,-1.7312115964349315,4.765390999964438
11,-1.6019155591997634,4.6312608000589535
12,-1.599144723396539,4.760500100092031
13,-1.6938240958866142,4.619679299998097
14,-1.3806363738040737,4.8076361999846995
15,-1.648143717138047,4.770692899939604
16,-1.7525237606088524,4.624973200028762
17,-1.5541274424880662,4.75549189990852
18,-1.6986354744997658,4.615832000039518
19,-1.643472147097481,4.76592419994995
20,-1.5605752576552891,4.768529699998908
21,-1.5828472457871765,4.6134085999801755
22,-1.7590513875498055,4.756449399981648
23,-1.6322020193931968,4.633116399985738
24,-1.6897903263267575,4.764129200018942
25,-1.4697625427478025,4.7727909999666736
26,-1.7593651293724446,4.623452899977565
27,-1.7273049361781352,4.778655899921432
28,-1.7732361269188466,4.649725700030103
29,-1.7100719250177818,4.770738800056279
30,-1.7253779579852506,4.757142300019041
31,-1.7236546097753955,4.61830930004362
32,-1.6886554855876166,4.766823299927637
33,-1.6630851406862326,4.645354100037366
34,-1.596456240696436,4.774104400072247
35,-1.7396260205453733,4.711276499903761
36,-1.7408092018836987,4.699032000033185
37,-1.6419574970152169,4.811229699989781
38,-1.66113653047272,4.612513499916531
39,-1.6016942430081766,4.756736799958162
40,-1.6537015753783297,4.616691800067201
41,-1.7189079827081095,4.767613400006667
42,-1.740295690884278,4.775273100007325
43,-1.7083213634084662,4.63373459991999
44,-1.7730251107043231,4.7567427000030875
45,-1.7452860011697828,4.623012700001709
46,-1.6714559393041113,4.765143999946304
47,-1.6778243913002489,4.7672898999881
48,-1.654164468439914,4.614181199925952
49,-1.732874067506097,4.7660280000418425
50,-1.7402152128194812,4.629992699949071
51,-1.7516679137927254,4.898944900021888
52,-1.6248485309561116,4.766287100035697
53,-1.5964965300249145,4.620277600013651
54,-1.7351740662109254,4.763066599960439
55,-1.7579132378476643,4.6361379999434575
56,-1.7668044191986216,4.7585095999529585
57,-1.69506101342255,4.764664600021206
58,-1.6044674875117406,4.6238985999953
59,-1.6894537566011054,4.76567990006879
60,-1.7444238102221798,4.6280233999714255
61,-1.5513365153237455,4.765878599951975
62,-1.7102639126452424,4.767082000034861
63,-1.7852141480047907,4.6629714000737295
64,-1.7827436486988177,4.770147500094026
65,-1.6520687136102068,4.600173000013456
66,-1.7618011322922953,4.85126330005005
67,-1.6748202436197932,4.837477900087833
68,-1.502340316094978,4.609196300036274
69,-1.7320023894613534,4.811904400005005
70,-1.7596738322165089,4.60619060008321
71,-1.6240258041708768,4.869212899939157
72,-1.7853000291892551,4.623697799979709
73,-1.5886255133320113,4.7936284999595955
74,-1.6220976610461317,4.7322891999501735
75,-1.7755947451329168,4.610935400007293
76,-1.6597484502731306,4.794166099978611
77,-1.6734418910243192,4.607191700022668
78,-1.5745037699470281,4.868079900043085
79,-1.5436684958033984,4.798328400007449
80,-1.6101457272791981,4.624506500083953
81,-1.7746502791854104,4.805680700112134
82,-1.6326062055358903,4.639882100047544
83,-1.6060029767687614,4.858829999924637
84,-1.6326476575363775,4.862147000036202
85,-1.7073007562739972,4.6134197999490425
86,-1.7801432375961896,4.8598761999746785
87,-1.5517686093770973,4.620237799943425
88,-1.7354112126906234,4.860471699968912
89,-1.764330566980677,4.81728259997908
90,-1.7422833514664646,4.6139076999388635
91,-1.6835830650652914,4.803342100000009
92,-1.8110855999823283,4.60451849992387
93,-1.706084566720689,4.803966599982232
94,-1.6387728185687862,4.612522299983539
95,-1.753946619881374,4.729549800045788
96,-1.7189030390326279,4.817235500086099
97,-1.6407747876839716,4.614921500091441
98,-1.7271299243883995,4.811949599999934
99,-1.7813914511782418,4.635834200074896
100,-1.686130003910561,4.85917359997984
