run;final_energy;time
1;-1.6777562433879785;1.9068149999984598
2;-1.6582561545996848;1.7834280000024592
3;-1.6940402212100594;1.7476604000003135
4;-1.6686722466216575;3.3236203999986174
5;-1.6754995428778319;4.308490999999776
6;-1.6651638676588252;4.230929100001958
7;-1.6707945464338556;4.053224999999657
8;-1.6703998561466136;1.7399298999989696
9;-1.689019725819899;1.7960715999979584
10;-1.6954399185011089;1.7592721000000893
11;-1.6880994462099448;1.7595752999986871
12;-1.644013326052595;1.7885174000002735
13;-1.6934693151540476;1.768058600002405
14;-1.6509334240839666;1.7560970000013185
15;-1.6399294271637697;1.7303561000007903
16;-1.6713950355092195;3.2000838999992993
17;-1.6891069386791544;4.398444999998901
18;-1.679178378776469;4.315126500001497
19;-1.6613539403955089;3.967979799999739
20;-1.6839274928741788;1.7949181999974826
21;-1.6728387764107264;1.7717584999991232
22;-1.6665178060672892;1.7591825999988941
23;-1.6963772217177457;1.7992137000001094
24;-1.6612642966592646;1.7542839999987336
25;-1.669566173844455;1.7669333999983792
26;-1.6592629191148336;1.7805595999998332
27;-1.692923285294123;1.7884773000005225
28;-1.6462089516490157;1.8163886000002094
29;-1.6885626460142278;1.7864735000002838
30;-1.6821667285824011;1.7847454000002472
31;-1.6675561745609409;2.5550105000002077
32;-1.671152795158685;4.186576100000821
33;-1.659130684208278;3.8098188000003574
34;-1.6706461219748336;1.7426817000014125
35;-1.6941580145914479;1.7766859000003024
36;-1.6511647474374977;1.7565120999970532
37;-1.6965192363020967;1.7614809000006062
38;-1.6803358295222715;1.7658583000011276
39;-1.6748026468121315;1.7663858000014443
40;-1.6665449855203842;1.8161894000004395
41;-1.6956438430217948;1.772961699996813
42;-1.673010041437391;1.7894096999989415
43;-1.6712251269890528;1.7602869000002102
44;-1.6656747133154748;1.8118229000028805
45;-1.6967751073873092;1.7492022000005818
46;-1.663757488422367;3.1049656000031973
47;-1.6688489253181589;2.9786870000025374
48;-1.695218732356733;3.0766479000012623
49;-1.6906952601866558;1.7777775000031397
50;-1.6663216897354263;1.796864199997799
51;-1.6678502465691982;1.7645636999986891
52;-1.6634256809771013;1.7612900999993144
53;-1.6622675693398263;1.809221700001217
54;-1.6857731453591396;1.7759232999997039
55;-1.680727433180264;1.8063312999984191
56;-1.6559964990300446;1.815742800001317
57;-1.648276125054846;1.8168786999995064
58;-1.650086130124453;1.7975350999986404
59;-1.6417700899426082;1.7492576000004192
60;-1.6633232635428872;1.7972026000024925
61;-1.6611702798109644;1.7922474000006332
62;-1.683356586971537;3.0476540999989084
63;-1.6825521337505935;3.5175588999991305
64;-1.6705325367985175;1.7911746000027051
65;-1.6853262527613422;1.7629675999996834
66;-1.661300344749294;1.7874851999986276
67;-1.668299540032401;1.7773863000002166
68;-1.6516077322142226;1.7618223999998008
69;-1.6405600087528016;1.7515148000020417
70;-1.655139401720873;1.7977938000003633
71;-1.6564669319738832;1.7606422999997449
72;-1.670844149879453;1.7594334999994317
73;-1.6682656993286988;1.7985283000016352
74;-1.6703824443184647;1.861298200001329
75;-1.6882814702379845;1.7679380000008678
76;-1.6524329191744256;1.8054406000010204
77;-1.6976890355712781;2.584315100000822
78;-1.634622001993926;3.8922364999998535
79;-1.6672490978908956;1.7939857000019401
80;-1.6857216449143961;1.7972430000008899
81;-1.658533195286556;1.7676656000003277
82;-1.6510350318907523;1.7738112000006367
83;-1.6531145264824696;1.774387099998421
84;-1.6892403281640096;1.7853880000002391
85;-1.6660985855051376;1.7678779999987455
86;-1.6820866339543998;1.7496000999999524
87;-1.6789485104324566;1.836655899998732
88;-1.6526887090278173;1.8010021000009147
89;-1.6658815486575873;1.784345799998846
90;-1.6589970508875442;1.774837099997967
91;-1.65824308474546;1.7855721000014455
92;-1.6526104944383921;2.087363500002539
93;-1.6463500136161262;4.544158699998661
94;-1.6815813675708646;1.7404673999990337
95;-1.6708361228697612;1.8023476999987906
96;-1.6515570773149781;1.7962040000020352
97;-1.677315565418843;1.8043207000009716
98;-1.694985324916401;1.7640333999988798
99;-1.6683394388822983;1.7715892999985954
100;-1.6650502075766567;1.7823505999986082
