-1.2734622917056497,-1.1909737379474872,-1.123807304368559,-1.0689987427632746,-1.0241695079973874,-0.9874108954079805,-0.9571907694528068,-0.93227859417375,-0.9116852605605634,-0.8946148537082841,
-1.2791539439895527,-1.1953701481721553,-1.1271793198638955,-1.0715660585951483,-1.0261090873526897,-0.9888642871983844,-0.9582703986115243,-0.9330731151338887,-0.912264071222717,-0.8950318681656702,
-1.2789697585442832,-1.1952179931439244,-1.127058006909035,-1.0714725155463194,-1.0260393821941298,-0.9888142827189217,-0.9582361472893222,-0.9330510753878649,-0.9122512043564391,-0.8950256587362898,
-1.2793631310653466,-1.195552649210755,-1.1273352652899273,-1.0716970128120367,-1.02621740493478,-0.9889526752422773,-0.9583416292734985,-0.9331298459407187,-0.9123087413128615,-0.8950666468020081,
-1.288809371298605,-1.201135460213973,-1.1302953259250264,-1.0729344047516243,-1.0263749774532227,-0.9884807733825602,-0.9575480500533003,-0.932218135821353,-0.9114073347991286,-0.894250846651897,
-1.1320998529064665,-1.0765529440597734,-1.0312797662154694,-0.9942637798031014,-0.9638927645152999,-0.938878558023299,-0.9181923065055397,-0.9010123273958861,-0.8866822078575215,-0.8746771946649319,
-1.106257227456724,-1.0581265468706094,-1.0184481708276085,-0.9856129102643879,-0.9583310709070557,-0.9355687501427224,-0.9164966171749311,-0.90044879372959,-0.886889893890542,-0.8753886439363617,
-1.2681134806930148,-1.1833882553597372,-1.115152408542327,-1.0600788689520666,-1.0155172407147006,-0.9793580658952479,-0.9499235915393227,-0.9258800421542118,-0.9061673040417013,-0.8899426768190498,
-1.236986836683915,-1.1589582430665173,-1.0959892319955966,-1.045056258068918,-1.0037485594651432,-0.9701456552423187,-0.9427186797155499,-0.9202510710674393,-0.9017749422134776,-0.8865201324448488,
-1.2840416172254385,-1.1980459466902058,-1.128416728663183,-1.0719139072222,-1.02594869705465,-0.9884534702984239,-0.9577771022778938,-0.9326009468511385,-0.9118714925580435,-0.8947464782773993,
-1.3173940364248937,-1.2236167208011361,-1.1479023788610334,-1.08666221955743,-1.0370264458847784,-0.9967017426054625,-0.9638563541219459,-0.9370275809789907,-0.9150474550549997,-0.8969831250475317,
-1.3166107958926812,-1.2231878982087243,-1.147728229999179,-1.0866665336179386,-1.0371515501642357,-0.9969044821316534,-0.9641048708954195,-0.937298746257477,-0.9153248326587767,-0.8972553645405204,
-1.316804707935764,-1.2236506139330996,-1.1483070776545399,-1.0872636307455419,-1.0377078423543644,-0.997387857692134,-0.9645014073695304,-0.9376063465515564,-0.91554867017582,-0.8974046856495227,
-1.3183330352623093,-1.2242890228117442,-1.1483686608062404,-1.0869712014819939,-1.0372169252572745,-0.9968043545804856,-0.9638950756384215,-0.9370210015605519,-0.9150098395578622,-0.8969252940525686,
-1.3148427398778904,-1.2215568772726664,-1.1462394490714047,-1.085319225079261,-1.0359409021381614,-0.9958230876434373,-0.9631437990633962,-0.9364483185025463,-0.914575171372227,-0.8965967684891901,
-1.3270814767935544,-1.2311358515826258,-1.1537100130505649,-1.0911243901667431,-1.0404353206403487,-0.9992896280352362,-0.9658072381370684,-0.9384866047741424,-0.9161286520404296,-0.8977757167061697,
-1.3496625841912404,-1.247693948398528,-1.1657299388884623,-1.0997483599551248,-1.0465374227230255,-1.0035349955310748,-0.9686988864805117,-0.940402371979593,-0.9173502206270501,-0.8985113205839645,
-1.3549899583205098,-1.2514029557151036,-1.1682390960217728,-1.1013783436461215,-1.0475321893986103,-1.0040786609761059,-0.9689291583523597,-0.9404211900005666,-0.9172321436678919,-0.8983101031738883,
-1.3600069835126265,-1.2548386736430077,-1.1705187670753927,-1.1028240629509933,-1.0483859511761993,-1.0045206249456224,-0.9690920517671082,-0.9404016082859332,-0.9170993714355967,-0.8981129608032301,
-1.3591232183314206,-1.2541393062948476,-1.169965623530219,-1.1023863106508591,-1.0480388616967946,-1.0042445044957593,-0.9688713256294267,-0.9402240443288542,-0.9169554275771151,-0.8979952415978522,
-1.3599492991148978,-1.2548499660132215,-1.170575545732262,-1.1029087171777177,-1.0484855422203858,-1.0046258844194134,-0.969196558303242,-0.9405011169742106,-0.9171912730767994,-0.8981958505025407,
