run,final_energy,time
1,-285.34788592527343,5.852595999953337
2,-152.34141373538887,5.944235199945979
3,-304.5436645381548,5.794495100039057
4,-272.0670824803101,6.022973599960096
5,-374.20714216537937,6.218195999972522
6,-371.74031373837107,6.274647300015204
7,-451.3756859017061,6.650049000047147
8,-404.14920553839534,5.540913800010458
9,-512.0332339959161,5.910480200080201
10,-213.98585888953198,6.278842900064774
11,-150.0405763449929,5.8629245000192896
12,-265.12658417986484,5.97632270003669
13,-361.7079885871503,6.230537800001912
14,-302.1568333886587,5.924465799937025
15,-266.0631494044897,5.77540089993272
16,-262.7705776799573,6.077847399981692
17,-264.56307537570916,6.188344600028358
18,-609.0312145330053,6.332352799945511
19,-141.19855359088317,5.706731099984609
20,-428.9316522195568,5.762823099968955
21,-358.96978393504304,5.920163500006311
22,-370.66084909762884,5.728038699948229
23,-160.96135046452378,6.234169099945575
24,-561.5043651996693,5.905890100053512
25,-484.3168718765293,5.932975700008683
26,-252.91816253645342,5.798907999997027
27,-264.4715409091941,5.9095452999463305
28,-256.7797222642565,6.363907600054517
29,-528.0126129965911,5.978914999985136
30,-272.17682263268165,5.892115600057878
31,-317.9427480030843,5.864083599997684
32,-380.8568662906331,6.01078300003428
33,-355.84046096373777,5.908242699922994
34,-263.76228091361213,6.0009857000550255
35,-336.30359236930485,6.261373300105333
36,-293.45857316919205,6.011584400082938
37,-294.36018124465875,5.763686200021766
38,-524.6271690657552,6.18298549996689
39,-262.19430033912977,6.152578299981542
40,-187.6299335357462,5.767714699963108
41,-368.2583015751793,5.9368624000344425
42,-312.3794062243575,5.85962860006839
43,-532.7865932223278,6.034531299956143
44,-273.35240409272706,5.797367600025609
45,-385.1889340737321,6.17074870003853
46,-296.7245395176287,5.966904299915768
47,-354.80832482062425,5.869402299984358
48,-269.71465351935933,6.134563900064677
49,-270.8323306133717,5.741583100054413
50,-315.5978500673448,5.96068529994227
51,-440.6566987289361,6.100277399993502
52,-266.0013052118628,6.044485499965958
53,-272.4800494395852,6.024205300025642
54,-526.8736170300565,6.368650000076741
55,-237.60720557838906,5.708995599998161
56,-263.65919581222767,6.057710200082511
57,-354.395698632815,6.339364400017075
58,-534.8866427917293,5.79283209994901
59,-289.7672816798811,5.819535800023004
60,-519.3810895060644,6.544565699994564
61,-325.1900179981976,6.169645400019363
62,-366.21845822396034,6.010284999967553
63,-326.66020402027186,5.962134700035676
64,-320.5543191587597,5.97132390004117
65,-498.86246026430837,6.151770800002851
66,-426.724240508142,6.2140002000378445
67,-279.1321827568014,6.069652099977247
68,-306.6653963074256,6.274789999937639
69,-385.29752057636665,5.681842799996957
70,-277.37650950364264,5.979199199937284
71,-474.38344869734306,6.184616000042297
72,-267.01693330508226,5.827762099914253
73,-339.1133845706237,5.851114699966274
74,-369.9676109562512,5.740531100076623
75,-289.7174727507063,6.036226000054739
76,-201.66307278468454,5.764483599923551
77,-220.81657560710244,5.963820199947804
78,-335.6702966212672,6.052979100029916
79,-266.1822071397762,5.908921699970961
80,-430.131035898225,6.065260699950159
81,-267.6654785363032,6.31992039992474
82,-345.0817500232016,6.048839000053704
83,-574.0975677833493,6.056258299970068
84,-436.08900430625175,5.84721559996251
85,-510.71475629420627,5.954664799966849
86,-280.32359510311056,6.362089799949899
87,-236.65857835043792,5.636315600015223
88,-222.44591583825365,5.253076599910855
89,-291.5295563867791,6.017810099991038
90,-276.34535457085315,6.025844400050119
91,-146.42098454770456,5.61907490005251
92,-396.52275093399584,5.80727659992408
93,-267.1086699582983,5.967312499997206
94,-279.2618964203231,6.080294999992475
95,-238.7845815899933,5.953932299977168
96,-277.93337982293247,6.35131719999481
97,-285.9571162306588,5.928207900025882
98,-279.29517559781004,6.071632300037891
99,-423.50733328094816,5.74563580006361
100,-418.57562648582643,5.975877199904062
